Gesture,Group1,Group2,Z-Stat,p-value,Corrected p-value
Unmute microphone,GPT5-NSTR,Gemini-NSTR,-0.31872612395927935,0.7499342029549907,1.0
Unmute microphone,GPT5-NSTR,Sonnet-NSTR,3.286165821994229,0.0010156120292111979,0.12187344350534374
Unmute microphone,GPT5-NSTR,Grok-NSTR,3.7262335882129958,0.00019436229627787602,0.023323475553345123
Unmute microphone,Gemini-NSTR,Sonnet-NSTR,3.5323145247329464,0.00041193908401380703,0.04943269008165684
Unmute microphone,Gemini-NSTR,Grok-NSTR,3.9583080684778644,7.548256087365565e-05,0.009057907304838677
Unmute microphone,Sonnet-NSTR,Grok-NSTR,1.012459691476985,0.31131831022725776,1.0
Turn off camera,Human-NSTR,GPT4o-NSTR,0.993978752478343,0.32023321181114994,1.0
Turn off camera,Human-NSTR,GPT5-NSTR,2.037436524365673,0.04160631684325014,1.0
Turn off camera,Human-NSTR,Gemini-NSTR,-0.6827887419989186,0.4947403445331605,1.0
Turn off camera,Human-NSTR,Sonnet-NSTR,1.1916850017083096,0.2333847811437486,1.0
Turn off camera,Human-NSTR,Grok-NSTR,2.2649488552372192,0.023515818232853605,1.0
Turn off camera,GPT4o-NSTR,GPT5-NSTR,1.0675508439738475,0.2857231671548446,1.0
Turn off camera,GPT4o-NSTR,Gemini-NSTR,-1.6732384292696594,0.09428036790277128,1.0
Turn off camera,GPT4o-NSTR,Sonnet-NSTR,0.20049200566350597,0.8410958096283867,1.0
Turn off camera,GPT4o-NSTR,Grok-NSTR,1.3038404810405297,0.19228797711152001,1.0
Turn off camera,GPT5-NSTR,Gemini-NSTR,-2.6961873163650507,0.007013821282591131,0.8416585539109357
Turn off camera,GPT5-NSTR,Sonnet-NSTR,-0.8692269873603534,0.38472298904552893,1.0
Turn off camera,GPT5-NSTR,Grok-NSTR,0.24090866392218802,0.809625907038567,1.0
Turn off camera,Gemini-NSTR,Sonnet-NSTR,1.8681991027289855,0.06173432382113252,1.0
Turn off camera,Gemini-NSTR,Grok-NSTR,2.9170658494913413,0.00353341167616189,0.4240094011394268
Turn off camera,Sonnet-NSTR,Grok-NSTR,1.106832448340966,0.2683663762967988,1.0
Turn on camera,Human-NSTR,GPT4o-NSTR,4.075240608288154,4.596679469473079e-05,0.005516015363367695
Turn on camera,Human-NSTR,GPT5-NSTR,4.305622010454845,1.66517179986253e-05,0.001998206159835036
Turn on camera,Human-NSTR,Gemini-NSTR,3.5688065008626473,0.0003586111532719207,0.04303333839263049
Turn on camera,Human-NSTR,Sonnet-NSTR,4.513285709896911,6.383094040984578e-06,0.0007659712849181494
Turn on camera,Human-NSTR,Grok-NSTR,5.038238557731652,4.698356262833638e-07,5.638027515400366e-05
Turn on camera,GPT4o-NSTR,GPT5-NSTR,0.28663335293946146,0.7743930735589302,1.0
Turn on camera,GPT4o-NSTR,Gemini-NSTR,-0.5623615626023503,0.5738697018868959,1.0
Turn on camera,GPT4o-NSTR,Sonnet-NSTR,0.5776252449537794,0.5635171592207714,1.0
Turn on camera,GPT4o-NSTR,Grok-NSTR,1.2971022422323248,0.19459601014275196,1.0
Turn on camera,GPT5-NSTR,Gemini-NSTR,-0.8449602643793337,0.3981330250323588,1.0
Turn on camera,GPT5-NSTR,Sonnet-NSTR,0.29323210788579196,0.769344743646335,1.0
Turn on camera,GPT5-NSTR,Grok-NSTR,1.0228166239135175,0.30639455649888436,1.0
Turn on camera,Gemini-NSTR,Sonnet-NSTR,1.1276539063924564,0.2594661111823291,1.0
Turn on camera,Gemini-NSTR,Grok-NSTR,1.8213635894783333,0.06855160608304171,1.0
Turn on camera,Sonnet-NSTR,Grok-NSTR,0.7356907446915036,0.4619189234591352,1.0
Ask for a question,Human-NSTR,GPT4o-NSTR,3.9167767021598716,8.974080049953534e-05,0.01076889605994424
Ask for a question,Human-NSTR,GPT5-NSTR,3.767134766347773,0.00016513186979711313,0.019815824375653577
Ask for a question,Human-NSTR,Gemini-NSTR,5.01230014158765,5.378322527398791e-07,6.45398703287855e-05
Ask for a question,Human-NSTR,Sonnet-NSTR,4.51161489410223,6.433591832372821e-06,0.0007720310198847386
Ask for a question,Human-NSTR,Grok-NSTR,4.232420463948749,2.3118968227261402e-05,0.002774276187271368
Ask for a question,GPT4o-NSTR,GPT5-NSTR,-0.18170044297998453,0.8558178183120645,1.0
Ask for a question,GPT4o-NSTR,Gemini-NSTR,1.3402864018430258,0.18015225066028884,1.0
Ask for a question,GPT4o-NSTR,Sonnet-NSTR,0.7289160918454837,0.4660529907450658,1.0
Ask for a question,GPT4o-NSTR,Grok-NSTR,0.3876754604379245,0.6982562180212084,1.0
Ask for a question,GPT5-NSTR,Gemini-NSTR,1.5196821912045118,0.12859086958583957,1.0
Ask for a question,GPT5-NSTR,Sonnet-NSTR,0.9094351442486097,0.3631204777560725,1.0
Ask for a question,GPT5-NSTR,Grok-NSTR,0.568693191531892,0.5695643690799117,1.0
Ask for a question,Gemini-NSTR,Sonnet-NSTR,-0.6114789403206566,0.5408825562163951,1.0
Ask for a question,Gemini-NSTR,Grok-NSTR,-0.9520431760518145,0.3410750854843646,1.0
Ask for a question,Sonnet-NSTR,Grok-NSTR,-0.3409186803407723,0.7331648014854146,1.0
End call,Human-NSTR,GPT4o-NSTR,2.0982168662539444,0.035885992360086647,1.0
End call,Human-NSTR,GPT5-NSTR,3.745171510257437,0.00018027058013901453,0.021632469616681742
End call,Human-NSTR,Gemini-NSTR,4.751219572153145,2.0219342587618566e-06,0.00024263211105142278
End call,Human-NSTR,Sonnet-NSTR,5.039253340304667,4.673515167511655e-07,5.608218201013986e-05
End call,Human-NSTR,Grok-NSTR,3.480328957086062,0.0005007984770672877,0.06009581724807452
End call,GPT4o-NSTR,GPT5-NSTR,1.6920868460976948,0.09062941609899883,1.0
End call,GPT4o-NSTR,Gemini-NSTR,2.7493613449086767,0.00597115197525671,0.7165382370308051
End call,GPT4o-NSTR,Sonnet-NSTR,3.0511963523063983,0.002279314639563104,0.2735177567475725
End call,GPT4o-NSTR,Grok-NSTR,1.4282149837465081,0.15322998912986202,1.0
End call,GPT5-NSTR,Gemini-NSTR,1.0804283591551151,0.2799514729707908,1.0
End call,GPT5-NSTR,Sonnet-NSTR,1.3887358474674774,0.1649130892991909,1.0
End call,GPT5-NSTR,Grok-NSTR,-0.2569697503416875,0.7972021248454785,1.0
End call,Gemini-NSTR,Sonnet-NSTR,0.30860669992418416,0.7576207236833963,1.0
End call,Gemini-NSTR,Grok-NSTR,-1.329944377470999,0.1835365984576386,1.0
End call,Sonnet-NSTR,Grok-NSTR,-1.6362418252028652,0.10178898605933887,1.0
